# 1.8.5
package,filesize,TTL,TTFX
CSV,9486126,1.2603819370269775,10.970409870147705
DataFrames,17322783,2.8850760459899902,12.57169508934021
Revise,3744488,3.845039129257202,5.276638031005859
GLMakie,19693959,30.3162739276886,29.27830410003662
LV,14550,2.0852999687194824,0.13746213912963867
OrdinaryDiffEq,96580813,12.066241025924683,1.1189370155334473
ModelingToolkit,2702892,30.10635805130005,24.67783212661743
JuMP,9721275,5.691226005554199,7.025876998901367
ImageFiltering,34097764,3.1431829929351807,1.0550239086151123
